 	PREFEITURA MUNICIPAL DE RIBEIRÃO PRETO
SECRETARIA DA FAZENDA
Lista: 2000    2003    2004    2005    2006    2007    2008    2009    2010    2011    2012    2013    2014    2015    2016    2017    2018    2019    2020    2021    2022    2023    2024    2025    2026   
TABELA DE SERVIÇOS DO ANO BASE DE 2026

CÓDIGO	 	SERVIÇO	REDUÇÃO BASE CALC.	ALIQUOTA	REDUÇÃO	INICIO	FIM	CÓD SERVIÇO LEI116
07.18.00	-         	Limpeza E Dragagem De Rios, Portos, Canais, Baías, Lagos, Lagoas, Represas, Açudes E Congêneres.	---	2.50		01/2026	12/2026	0718
07.19.00	-         	Acompanhamento E Fiscalização Da Execução De Obras De Engenharia, Arquitetura E Urbanismo.	---	2.00		01/2026	12/2026	0719
07.20.01	-         	Aerofotogrametria (Inclusive Interpretação).	---	2.50		01/2026	12/2026	0720
07.20.02	-         	Cartografia, Mapeamento.	---	2.50		01/2026	12/2026	0720
07.20.03	-         	Levantamentos Topográficos, Batimétricos, Geográficos, Geodésicos, Geológicos, Geofísicos E Congêneres.	---	2.50		01/2026	12/2026	0720
07.21.00	-         	Pesquisa, Perfuração, Cimentação, Mergulho, Perfilagem, Concretação, Testemunhagem, Pescaria, Estimulação E Outros Serviços Relacionados Com A Exploração E Explotação De Petróleo, Gás Natural E De Outros Recursos Minerais.	---	3.00		01/2026	12/2026	0721
07.22.00	-         	Nucleação E Bombardeamento De Nuvens E Congêneres.	---	3.00		01/2026	12/2026	0722
08.01.01	-         	Ensino Fundamental.	---	2.00		01/2026	12/2026	0801
08.01.02	-         	Ensino Regular Pré-Escolar.	---	2.00		01/2026	12/2026	0801
08.01.03	-         	Professor Particular	---	2.00		01/2026	12/2026	0801
08.01.04	-         	Ensino Médio.	---	2.00		01/2026	12/2026	0801
08.01.05	-         	Ensino Superior, Seqüencial, Pós-Graduação.	---	2.00		01/2026	12/2026	0801
08.02.01	-         	Instrução, Treinamento, Avaliação De Conhecimentos De Qualquer Natureza.	---	2.00		01/2026	12/2026	0802
08.02.02	-         	Escola, Preparação P/Cursos Superiores, Cursinhos.	---	2.00		01/2026	12/2026	0802
08.02.03	-         	Ensino De Escola De Cabeleireiros E Congêneres	---	2.00		01/2026	12/2026	0802
08.02.04	-         	Ensino De Línguas.	---	2.00		01/2026	12/2026	0802
08.02.05	-         	Ensino De Música, Violão, Piano, Etc.	---	2.00		01/2026	12/2026	0802
08.02.06	-         	Ensino De Arte Culinária, Costura, Educação Artística, Artesanato, Etc......	---	2.00		01/2026	12/2026	0802
08.02.07	-         	Treinamento, Instrução Na Área De Informática.	---	2.00		01/2026	12/2026	0802
08.02.08	-         	Orientação Pedagógica E Educacional	---	2.00		01/2026	12/2026	0802
08.02.09	-         	Auto Escola	---	2.00		01/2026	12/2026	0802
08.02.10	-         	Moto Escola	---	2.00		01/2026	12/2026	0802
09.01.01	-         	Hospedagem De Qualquer Natureza Em Hotéis, (O Valor Da Alimentação E Gorjeta, Quando Incluído No Preço Da Diária, Fica Sujeito Ao Iss).	---	4.00		01/2026	12/2026	0901
09.01.02	-         	Hospedagem Em Apart-Service Condominiais, Flat, Apart-Hotéis, Hotéis Residência, Residence-Service, Suite Service, (O Valor Da Alimentação E Gorjeta).	---	4.00		01/2026	12/2026	0901
09.01.03	-         	Hotelaria Marítima	---	4.00		01/2026	12/2026	0901
09.01.04	-         	Motéis	---	4.00		01/2026	12/2026	0901
09.01.05	-         	Hospedagem Em Pensões, Albergues, Pousadas, Hospedarias E Congêneres.	---	4.00		01/2026	12/2026	0901
09.01.06	-         	Ocupação Por Temporada Com Fornecimento De Serviço.	---	4.00		01/2026	12/2026	0901
09.01.07	-         	Hospedagem Infantil	---	4.00		01/2026	12/2026	0901
09.02.00	-         	Agenciamento, Organização, Promoção, Intermediação E Execução De Programas De Turismo, Passeios, Viagens, Excursões, Hospedagem E Congêneres.	---	2.00		01/2026	12/2026	0902
09.03.00	-         	Guias De Turismo.	---	2.00		01/2026	12/2026	0903
10.01.01	-         	Agenciamento, Corretagem Ou Intermediação De Câmbio.	---	2.00		01/2026	12/2026	1001
10.01.02	-         	Agenciamento, Corretagem Ou Intermediação De Seguros.	---	2.00		01/2026	12/2026	1001
10.01.03	-         	Agenciamento, Corretagem Ou Intermediação De Cartões De Crédito.	---	2.00		01/2026	12/2026	1001
10.01.04	-         	Agenciamento, Corretagem Ou Intermediação De Planos De Saúde.	---	2.00		01/2026	12/2026	1001
10.01.05	-         	Agenciamento, Corretagem Ou Intermediação De Planos De Previdência Privada.	---	2.00		01/2026	12/2026	1001
10.02.01	-         	Agenciamento De Títulos Em Geral, Valores Mobiliários, Contratos Quaisquer E Consórcios.	---	2.00		01/2026	12/2026	1002
10.02.02	-         	Corretagem De Títulos Em Geral, Valores Mobiliários, Contratos Quaisquer E Consórcios.	---	2.00		01/2026	12/2026	1002
10.02.03	-         	Intermediação De Títulos Em Geral, Valores Mobiliários, Contratos Quaisquer E Consórcios.	---	2.00		01/2026	12/2026	1002
10.03.01	-         	Agenciamento, Corretagem Ou Intermediação De Direitos De Propriedade Industrial (Inclusive Marcas E Patentes).	---	2.00		01/2026	12/2026	1003
10.03.02	-         	Agenciamento, Corretagem Ou Intermediação De Direitos De Propriedade Artística.	---	2.00		01/2026	12/2026	1003
10.03.03	-         	Agenciamento, Corretagem Ou Intermediação De Direitos De Propriedade Literária.	---	2.00		01/2026	12/2026	1003
10.04.01	-         	Agenciamento, Corretagem Ou Intermediação De Contratos De Arrendamento Mercantil (Leasing).	---	2.00		01/2026	12/2026	1004
10.04.02	-         	Agenciamento, Corretagem Ou Intermediação De Contratos De Franquia (Franchising).	---	2.00		01/2026	12/2026	1004
10.04.03	-         	Agenciamento, Corretagem Ou Intermediação De Contratos De Faturização (Factoring).	---	2.00		01/2026	12/2026	1004
