Codigo;Descricao
105041100;Serviços de transporte multimodal de cargas sólidas a granel
105041200;Serviços de transporte multimodal de cargas líquidas, ou liquefeitas, a granel
105041300;Serviços de transporte multimodal de cargas gasosas a granel
105042;Serviços de transporte multimodal de carga geral, exceto em contêineres
105042100;Serviços de transporte multimodal de carga solta, não unitizada
105042200;Serviços de transporte multimodal de carga unitizada
105042300;Serviços de transporte multimodal de carga frigorificada ou climatizada 
105043;Serviços de transporte multimodal de cargas em contêineres
105043100;Serviços de transporte multimodal de cargas em contêineres frigorificados ou climatizados
105043200;Serviços de transporte multimodal de cargas em contêineres não frigorificados ou climatizados
105044;Serviços de transporte multimodal de cargas especiais
105044100;Serviços de transporte multimodal de cargas vivas
105044200;Serviços de transporte multimodal de mudanças domésticas e de mobília e outros objetos de escritório
105044300;Serviços de transporte multimodal de cargas de grande porte
105044400;Serviços de transporte multimodal de veículos
1050445;Serviços de transporte multimodal de produtos perigosos
105044510;Serviços de transporte multimodal de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos
105044520;Serviços de transporte multimodal de produtos químicos perigosos, exceto lubrificantes e GLP
105044590;Serviços de transporte multimodal de produtos perigosos não classificados em subposições anteriores
105044900;Serviços de transporte multimodal de cargas especiais não classificados em subposições anteriores
105049000;Serviços de transporte multimodal de cargas não classificados em subposições anteriores
10505;Locação de veículos de cargas com operador
105051000;Locação de veículos rodoviários de carga com operador 
105052000;Locação de embarcações de carga com tripulação 
105053000;Locação de aeronaves de carga com tripulação
105060000;Afretamento de embarcações de carga por tempo
106;Serviços de apoio aos transportes
10601;Serviços de manuseio de cargas 
106011000;Serviços de manuseio de contêineres 
106019000;Serviços de manuseio de cargas não classificados em subposições anteriores 
10602;Serviços de armazenagem
106021000;Serviços de armazenagem frigorificada 
106022;Serviços de armazenagem de produtos perigosos 
106022100;Serviços de armazenagem de petróleo e seus derivados 
106022200;Serviços de armazenagem de combustíveis, lubrificantes e GLP, inclusive apresentado em botijões metálicos 
106022300;Serviços de armazenagem de produtos químicos perigosos 
106022900;Serviços de armazenagem de produtos perigosos não classificados em subposições anteriores
106023;Serviços de armazenagem de granéis sólidos, líquidos ou liquefeitos e gasosos 
106023100;Serviços de armazenagem de granéis sólidos 
106023200;Serviços de armazenagem de granéis líquidos ou liquefeitos 
106023300;Serviços de armazenagem de granéis gasosos 
106029000;Serviços de armazenagem não classificados em subposições anteriores
106030000;Serviços de apoio ao transporte ferroviário 
10604;Serviços de apoio ao transporte rodoviário 
106041000;Serviços de estações rodoviárias 
106042;Serviços de operação de rodovias, pontes e túneis 
106042100;Serviços de operação de rodovias 
106042200;Serviços de operação de pontes e túneis 
106043000;Serviços de estacionamento 
106044000;Serviços de reboque para veículos particulares e comerciais 
106049000;Serviços de apoio ao transporte rodoviário não classificados em subposições anteriores
10605;Serviços de apoio ao transporte aquaviário
106051000;Serviços de operação de portos e canais, exceto manuseio de cargas 
106052000;Serviços de praticagem e de atracação
106053000;Serviços de salvamento de embarcações 
106054000;Serviços de navegação de apoio 
106059000;Serviços de apoio ao transporte aquaviário não classificados em subposições anteriores
10606;Serviços de apoio ao transporte aéreo e aeroespacial 
106061;Serviços de apoio ao transporte aéreo
106061100;Serviços de operação aeroportuária, exceto manuseio de cargas 
106061200;Serviços de controle de tráfego aéreo 
106061900;Serviços de apoio ao transporte aéreo não classificados em subposições anteriores
106062000;Serviços de apoio ao transporte aeroespacial
106070000;Serviços de agenciamento de transporte de cargas
10608;Serviços de apoio ao transporte multimodal de cargas 
106081000;Serviços de coleta e entrega de cargas no transporte multimodal
106082000;Serviços de unitização ou desunitização de cargas no transporte multimodal 
106083000;Serviços de movimentação de cargas no transporte multimodal 
106084000;Serviços de consolidação ou desconsolidação documental de cargas no transporte multimodal 
106089000;Serviços de apoio ao transporte multimodal de cargas não classificados em subposições anteriores
106090000;Serviços de apoio aos transportes não classificados em posições anteriores
107;Serviços postais; serviços de coleta, remessa ou entrega de documentos ou encomendas; serviços de remessas expressas
107010000;Serviços postais e de telegrama
107020000;Serviços de coleta, transporte, remessa ou entrega de documentos ou encomendas, exceto remessas expressas
107030000;Serviços de remessas expressas
108;Serviços de transmissão e distribuição de eletricidade; serviços de distribuição de gás e água;
10801;Serviços de transmissão e distribuição de eletricidade
108011000;Serviços de transmissão de eletricidade
108012000;Serviços de distribuição de eletricidade
10802;Serviços de distribuição de água
108021000;Serviços de distribuição de água por meio de tubulações, exceto vapor de água e água quente
108022000;Serviços de distribuição de vapor de água, água quente e ar condicionado por meio de tubulações
108023000;Serviços de distribuição de água, exceto por meio de tubulações
108030000;Serviços de distribuição de gás canalizado
109;Serviços financeiros e serviços relacionados
10901;Serviços financeiros, exceto bancos de investimento, serviços de seguros e previdência complementar
109011000;Serviços de banco central
109012;Serviços de depósito 
109012100;Serviços de depósito para pessoas jurídicas
109012200;Serviços de depósito para pessoas físicas
109012900;Serviços de depósito para outros depositantes
109013;Serviços de concessão de crédito 
109013100;Serviços de financiamentos imobiliários residenciais
109013200;Serviços de financiamentos imobiliários não residenciais
109013300;Serviços de empréstimos e financiamentos pessoais
109013400;Serviços de empréstimos e financiamentos comerciais 
109013500;Serviços de empréstimos e financiamentos industriais
109013600;Serviços de empréstimos e financiamentos agropecuários
109013900;Serviços de concessão de crédito não classificados em subposições anteriores
109014000;Serviços de cartão de crédito 
109015;Operações de arrendamento mercantil financeiro
1090151;Arrendamento mercantil financeiro de máquinas e equipamentos
10901511;Arrendamento mercantil financeiro de equipamentos de transporte
109015111;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de passageiros 
109015112;Arrendamento mercantil financeiro de veículos rodoviários automotores para o transporte de mercadorias 
109015113;Arrendamento mercantil financeiro de veículos e equipamentos ferroviários 
109015114;Arrendamento mercantil financeiro de outros equipamentos de transporte terrestre, inclusive de veículos de uso misto 
